datetime,open,high,low,close,kline_status
2024-01-02,16667.3,16686.6,16453.15,16543.94,INITIAL
2024-01-03,16413.26,16471.08,16352.14,16368.49,TREND_DOWN
2024-01-04,16290.78,16419.44,16276.43,16282.01,TREND_DOWN
2024-01-05,16281.74,16415.39,16249.19,16305.98,TREND_DOWN
2024-01-08,16354.22,16655.23,16349.39,16649.87,TREND_UP
2024-01-09,16531.96,16710.89,16513.73,16678.7,TREND_UP
2024-01-10,16702.55,16827.37,16654.74,16793.05,TREND_UP
2024-01-11,16852.19,16898.16,16618.86,16820.9,OUTSIDE
2024-01-12,16855.0,16900.37,16776.92,16832.92,TREND_UP
2024-01-16,16775.1,16895.33,16726.59,16830.71,TREND_DOWN
2024-01-17,16705.51,16749.11,16561.49,16736.28,TREND_DOWN
2024-01-18,16894.33,16996.98,16818.13,16982.29,TREND_UP
2024-01-19,17060.14,17317.21,17041.85,17314.01,TREND_UP
2024-01-22,17403.62,17450.3,17309.87,17330.38,TREND_UP
2024-01-23,17346.95,17410.86,17286.02,17404.21,TREND_DOWN
2024-01-24,17562.32,17665.26,17481.97,17499.3,TREND_UP
2024-01-25,17589.27,17631.34,17430.38,17516.99,TREND_DOWN
2024-01-26,17432.87,17514.76,17395.54,17421.01,TREND_DOWN
2024-01-29,17438.03,17603.95,17414.62,17596.27,TREND_UP
2024-01-30,17556.49,17578.46,17443.77,17476.71,INSIDE
2024-01-31,17269.98,17375.32,17128.74,17137.24,TREND_DOWN
2024-02-01,17216.99,17356.76,17175.83,17344.71,INSIDE
2024-02-02,17415.94,17682.29,17378.37,17642.73,TREND_UP
2024-02-05,17634.692,17655.773,17469.617,17613.036,INSIDE
2024-02-06,17664.44,17680.62,17475.43,17572.73,TREND_UP
2024-02-07,17674.59,17784.17,17637.73,17755.07,TREND_UP
2024-02-08,17757.6,17814.12,17728.55,17783.17,TREND_UP
2024-02-09,17820.98,17987.9,17798.81,17962.41,TREND_UP
2024-02-12,17942.28,18041.45,17859.66,17882.66,TREND_UP
2024-02-13,17519.8,17717.67,17478.23,17600.42,TREND_DOWN
2024-02-14,17728.9,17815.18,17619.92,17807.63,TREND_UP
2024-02-15,17815.32,17864.59,17722.31,17845.72,TREND_UP
2024-02-16,17853.59,17864.16,17663.4,17685.98,TREND_DOWN
2024-02-20,17591.17,17657.08,17399.41,17546.1,TREND_DOWN
2024-02-21,17412.79,17482.13,17319.44,17478.91,TREND_DOWN
2024-02-22,17857.76,18034.8,17808.26,18004.7,TREND_UP
2024-02-23,18052.59,18091.62,17902.78,17937.61,TREND_UP
2024-02-26,17970.21,18014.11,17926.66,17933.33,INSIDE
2024-02-27,17962.58,17987.54,17871.06,17971.05,TREND_DOWN
2024-02-28,17895.03,17931.01,17840.36,17874.5,TREND_DOWN
2024-02-29,17991.67,18068.52,17866.26,18043.85,TREND_UP
2024-03-01,18069.286,18333.257,18064.439,18302.91,TREND_UP
2024-03-04,18290.1,18313.43,18218.25,18226.48,INSIDE
2024-03-05,18088.71,18097.5,17804.5,17897.87,TREND_DOWN
2024-03-06,18083.51,18142.88,17941.65,18017.58,TREND_UP
2024-03-07,18161.73,18337.95,18101.43,18297.99,TREND_UP
2024-03-08,18313.035,18416.727,17995.383,18018.452,OUTSIDE
2024-03-11,17959.68,18003.05,17873.33,17951.69,TREND_DOWN
2024-03-12,18063.024,18228.37,17919.333,18219.115,TREND_UP
2024-03-13,18151.76,18163.74,18030.4,18068.47,INSIDE
2024-03-14,18114.69,18142.9,17913.63,18014.81,TREND_DOWN
2024-03-15,17926.92,17930.47,17764.99,17808.25,TREND_DOWN
2024-03-18,18024.238,18124.324,17973.088,17985.007,TREND_UP
2024-03-19,17902.52,18039.82,17809.15,18032.21,TREND_DOWN
2024-03-20,18067.7,18249.12,18003.24,18240.11,TREND_UP
2024-03-21,18438.24,18464.7,18317.1,18320.38,TREND_UP
2024-03-22,18293.15,18386.25,18267.49,18339.44,TREND_DOWN
2024-03-25,18215.54,18337.35,18189.28,18277.06,TREND_DOWN
2024-03-26,18329.29,18378.7,18207.88,18210.54,TREND_UP
2024-03-27,18338.19,18344.09,18168.2,18280.84,TREND_DOWN
2024-03-28,18263.41,18308.32,18231.38,18254.69,INSIDE
2024-04-01,18280.82,18391.58,18211.28,18293.2,OUTSIDE
2024-04-02,18076.43,18135.58,18002.27,18121.78,TREND_DOWN
2024-04-03,18054.45,18238.67,18045.42,18160.19,TREND_UP
2024-04-04,18331.02,18362.29,17875.75,17878.78,OUTSIDE
2024-04-05,17940.28,18202.96,17912.86,18108.46,INSIDE
2024-04-08,18130.441,18178.656,18050.69,18100.192,INSIDE
2024-04-09,18188.867,18210.024,17973.071,18169.905,OUTSIDE
2024-04-10,17957.96,18040.83,17932.42,18011.66,TREND_DOWN
2024-04-11,18085.11,18337.15,17998.25,18307.98,TREND_UP
2024-04-12,18117.671,18166.494,17952.085,18003.487,TREND_DOWN
2024-04-15,18143.26,18152.08,17676.35,17706.83,TREND_DOWN
2024-04-16,17691.45,17817.73,17660.89,17713.66,TREND_DOWN
2024-04-17,17785.82,17788.54,17459.57,17493.62,TREND_DOWN
2024-04-18,17514.77,17590.81,17376.49,17394.31,TREND_DOWN
2024-04-19,17334.71,17362.28,16973.94,17037.65,TREND_DOWN
2024-04-22,17161.11,17305.15,17010.26,17210.89,INSIDE
2024-04-23,17297.24,17513.31,17277.26,17471.47,TREND_UP
2024-04-24,17613.66,17653.66,17435.33,17526.8,TREND_UP
2024-04-25,17205.28,17474.46,17172.42,17430.5,TREND_DOWN
2024-04-26,17566.22,17772.78,17533.08,17718.3,TREND_UP
2024-04-29,17801.14,17820.0,17671.03,17782.72,TREND_UP
2024-04-30,17720.35,17768.87,17440.69,17440.69,TREND_DOWN
2024-05-01,17382.78,17667.86,17284.37,17318.55,TREND_DOWN
2024-05-02,17474.92,17575.81,17290.64,17541.54,INSIDE
2024-05-03,17848.66,17926.98,17784.78,17890.8,TREND_UP
2024-05-06,17950.984,18094.461,17937.282,18093.566,TREND_UP
2024-05-07,18106.33,18156.32,18061.61,18091.45,TREND_UP
2024-05-08,17987.71,18135.34,17987.71,18085.01,TREND_DOWN
2024-05-09,18095.8,18138.02,18012.62,18113.46,TREND_UP
2024-05-10,18171.146,18247.609,18099.725,18161.18,TREND_UP
2024-05-13,18228.41,18233.5,18147.57,18198.61,INSIDE
2024-05-14,18187.51,18339.58,18175.3,18322.77,TREND_UP
2024-05-15,18412.81,18607.53,18359.32,18596.65,TREND_UP
2024-05-16,18589.98,18669.5,18553.3,18557.96,TREND_UP
2024-05-17,18571.82,18590.37,18462.25,18546.23,TREND_DOWN
2024-05-20,18559.22,18703.83,18549.84,18674.19,TREND_UP
2024-05-21,18603.99,18721.18,18589.91,18713.8,TREND_UP
2024-05-22,18733.55,18756.69,18606.16,18705.2,TREND_UP
2024-05-23,18907.14,18907.54,18554.89,18623.39,OUTSIDE
2024-05-24,18669.36,18851.99,18664.79,18808.35,INSIDE
2024-05-28,18855.15,18875.2,18755.94,18869.44,TREND_UP
2024-05-29,18708.07,18814.82,18706.63,18736.76,TREND_DOWN
2024-05-30,18683.25,18705.26,18487.76,18538.66,TREND_DOWN
2024-05-31,18550.8,18574.57,18189.78,18536.65,TREND_DOWN
2024-06-03,18666.72,18707.22,18392.57,18600.97,TREND_UP
2024-06-04,18598.0,18697.95,18521.85,18654.84,INSIDE
2024-06-05,18791.28,19035.87,18768.25,19035.05,TREND_UP
2024-06-06,19053.01,19071.79,18978.86,19021.19,TREND_UP
2024-06-07,18992.58,19113.88,18958.68,19000.95,OUTSIDE
2024-06-10,18945.31,19089.84,18940.71,19074.68,TREND_DOWN
2024-06-11,19031.4,19212.63,18966.56,19210.19,TREND_UP
2024-06-12,19358.26,19556.9,19347.28,19465.18,TREND_UP
2024-06-13,19609.05,19639.45,19473.71,19576.92,TREND_UP
2024-06-14,19557.22,19664.59,19534.62,19659.8,TREND_UP
2024-06-17,19681.86,19977.84,19623.71,19902.75,TREND_UP
2024-06-18,19904.43,19940.5,19837.86,19908.86,INSIDE
2024-06-20,19962.97,19979.93,19685.03,19752.3,OUTSIDE
2024-06-21,19722.37,19801.97,19643.52,19700.43,TREND_DOWN
2024-06-24,19648.23,19723.2,19472.53,19474.62,TREND_DOWN
2024-06-25,19555.84,19712.42,19523.51,19701.13,INSIDE
2024-06-26,19671.07,19763.55,19654.18,19751.05,TREND_UP
2024-06-27,19740.52,19850.81,19701.34,19789.03,TREND_UP
2024-06-28,19817.01,20017.72,19665.85,19682.87,OUTSIDE
2024-07-01,19720.112,19827.749,19577.535,19812.223,TREND_DOWN
2024-07-02,19746.224,20014.915,19741.809,20011.893,TREND_UP
