datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-01-02,7.33,7.38,7.23,7.27,25436294.0,INITIAL,,
2024-01-03,7.25,7.31,7.18,7.26,18064582.0,TREND_DOWN,,
2024-01-05,7.26,7.26,7.06,7.1,16808982.0,TREND_DOWN_(M),,
2024-01-08,7.1,7.11,6.93,6.95,21778992.0,TREND_DOWN,,
2024-01-09,6.9,7.1,6.9,6.99,20417729.0,TREND_DOWN,BOTTOM,Bx
2024-01-12,7.42,7.45,7.21,7.22,64054125.0,TREND_UP_(M),TOP,Tx
2024-01-16,7.15,7.3,7.11,7.3,32709272.0,TREND_DOWN_(M),BOTTOM,
2024-01-17,7.27,7.31,7.14,7.15,22775684.0,TREND_UP,TOP,
2024-01-18,7.1,7.14,6.78,7.06,49164205.0,TREND_DOWN,BOTTOM,B
2024-01-22,7.01,7.33,7.0,7.09,55743631.99999999,TREND_UP_(M),TOP,
2024-01-23,7.06,7.15,6.94,7.09,27161824.0,TREND_DOWN,BOTTOM,
2024-01-24,7.16,7.25,6.99,7.23,41571584.0,TREND_UP,,
2024-01-30,7.26,7.84,7.26,7.4,81242562.0,TREND_UP_(M),TOP,Tx
2024-01-31,7.35,7.54,7.24,7.44,45054453.0,TREND_DOWN,BOTTOM,Bx
2024-02-02,7.35,7.8,7.3,7.37,57005225.0,TREND_UP_(M),TOP,
2024-02-05,7.18,7.34,6.88,7.26,53406848.0,TREND_DOWN,BOTTOM,
2024-02-06,7.1,7.78,7.04,7.66,62004982.99999999,TREND_UP,,
2024-02-07,7.65,8.1,7.6,8.07,98518373.0,TREND_UP,,
2024-02-08,8.21,8.46,7.96,8.02,106441876.0,TREND_UP,TOP,Tx
2024-02-20,8.13,8.13,7.8,7.98,74798944.0,TREND_DOWN_(M),BOTTOM,
2024-02-21,7.96,8.31,7.89,7.95,81028575.0,TREND_UP,TOP,
2024-02-22,7.92,7.99,7.86,7.94,52470107.99999999,TREND_DOWN,BOTTOM,
2024-02-23,7.99,8.14,7.9,8.02,59488531.00000001,TREND_UP,TOP,
2024-02-27,8.04,8.05,7.83,8.05,56264281.00000001,TREND_DOWN_(M),BOTTOM,Bx
2024-02-28,8.08,8.3,7.92,7.92,79344407.0,TREND_UP,TOP,Tx
2024-02-29,7.87,8.22,7.86,8.22,73011240.0,TREND_DOWN,BOTTOM,
2024-03-01,8.2,8.65,8.18,8.55,107268079.0,TREND_UP,,
2024-03-08,8.47,8.84,8.47,8.64,75562029.0,TREND_UP_(M),,
2024-03-15,8.63,9.17,8.63,8.98,95690940.0,TREND_UP_(M),,
2024-03-18,9.04,9.38,9.02,9.22,67957084.0,TREND_UP,TOP,T
2024-03-19,9.17,9.21,9.01,9.02,49819085.0,TREND_DOWN,,
2024-03-21,8.99,9.09,8.9,9.07,30507900.0,TREND_DOWN_(M),BOTTOM,
2024-03-22,9.05,9.19,8.98,9.15,51470045.0,TREND_UP,TOP,
2024-03-25,9.15,9.16,8.78,8.79,56873373.0,TREND_DOWN,,
2024-03-26,8.85,8.97,8.75,8.8,40801585.0,TREND_DOWN,,
2024-03-27,8.82,8.86,8.58,8.63,40999579.0,TREND_DOWN,BOTTOM,Bx
2024-03-28,8.63,8.88,8.61,8.77,32175383.0,TREND_UP,TOP,Tx
2024-03-29,8.74,8.8,8.55,8.63,39267094.0,TREND_DOWN,BOTTOM,Bx
2024-04-01,8.67,8.89,8.66,8.8,36690208.0,TREND_UP,TOP,
2024-04-02,8.65,8.79,8.41,8.76,52012816.0,TREND_DOWN,BOTTOM,Bx
2024-04-03,8.7,8.89,8.67,8.79,34910152.0,TREND_UP,TOP,
2024-04-08,8.72,8.78,8.57,8.6,36681424.0,TREND_DOWN,,
2024-04-10,8.54,8.75,8.51,8.57,26392697.0,TREND_DOWN_(M),,
2024-04-11,8.55,8.72,8.48,8.62,28217517.0,TREND_DOWN,BOTTOM,
2024-04-15,8.62,8.86,8.6,8.76,27822557.0,TREND_UP_(M),TOP,Tx
2024-04-16,8.79,8.81,8.35,8.41,58311109.0,TREND_DOWN,,
2024-04-17,8.35,8.54,8.25,8.46,69500653.0,TREND_DOWN,BOTTOM,Bx
2024-04-18,8.45,8.67,8.32,8.59,70653328.0,TREND_UP,,
2024-04-19,8.6,8.68,8.43,8.48,36477041.0,TREND_UP,TOP,
2024-04-22,8.5,8.53,8.27,8.3,37827642.0,TREND_DOWN,,
2024-04-24,8.34,8.34,8.11,8.21,33848600.0,TREND_DOWN_(M),,
2024-04-25,8.16,8.24,8.04,8.2,28546400.0,TREND_DOWN,BOTTOM,B
2024-04-26,8.16,8.47,8.16,8.42,39012807.0,TREND_UP,,
2024-04-30,8.43,8.87,8.43,8.75,53434361.0,TREND_UP_(M),,
2024-05-06,8.88,8.91,8.7,8.76,43654534.0,TREND_UP,,
2024-05-07,8.76,8.93,8.73,8.77,32180796.0,TREND_UP,TOP,T
2024-05-09,8.73,8.73,8.42,8.68,38411754.0,TREND_DOWN_(M),BOTTOM,Bx
2024-05-10,8.73,8.8,8.67,8.7,27947495.0,TREND_UP,TOP,
2024-05-13,8.65,8.66,8.47,8.52,28463220.0,TREND_DOWN,,
2024-05-15,8.47,8.49,8.39,8.4,22926079.0,TREND_DOWN_(M),,
2024-05-16,8.39,8.44,8.29,8.31,24404211.0,TREND_DOWN,BOTTOM,Bx
2024-05-17,8.31,8.49,8.3,8.45,29959770.0,TREND_UP,TOP,Tx
2024-05-20,8.43,8.48,8.27,8.31,33029780.0,TREND_DOWN,,
2024-05-21,8.31,8.33,8.18,8.24,22199536.0,TREND_DOWN,,
2024-05-22,8.24,8.28,8.17,8.23,17708800.0,TREND_DOWN,,
2024-05-23,8.2,8.22,8.02,8.05,26337094.0,TREND_DOWN,,
2024-05-24,8.06,8.15,7.97,8.0,23206000.0,TREND_DOWN,BOTTOM,Bx
2024-05-27,8.17,8.23,8.0,8.14,41903883.0,TREND_UP,TOP,
2024-05-30,8.08,8.08,7.78,8.04,56746891.0,TREND_DOWN_(M),BOTTOM,B
2024-05-31,8.07,8.1,7.87,7.88,32135092.0,TREND_UP,,
2024-06-03,8.01,8.22,7.92,8.14,55963731.00000001,TREND_UP,,
2024-06-04,8.15,8.32,8.03,8.3,44654355.0,TREND_UP,,
2024-06-05,8.3,8.37,8.25,8.26,27714346.0,TREND_UP,TOP,Tx
2024-06-06,8.33,8.35,8.17,8.19,32495683.0,TREND_DOWN,BOTTOM,Bx
2024-06-07,8.29,8.45,8.26,8.42,38771190.0,TREND_UP,,
2024-06-11,8.4,8.52,8.3,8.48,36955541.0,TREND_UP,,
2024-06-12,8.56,8.69,8.46,8.5,42350020.0,TREND_UP,TOP,T
2024-06-13,8.5,8.55,8.36,8.42,43005295.0,TREND_DOWN,,
2024-06-14,8.43,8.43,8.11,8.11,102746201.0,TREND_DOWN,,
2024-06-17,8.19,8.3,8.01,8.06,55964579.0,TREND_DOWN,,
2024-06-19,8.05,8.05,7.84,7.88,46496010.0,TREND_DOWN_(M),,
2024-06-21,7.87,7.89,7.71,7.79,32896552.0,TREND_DOWN_(M),,
2024-06-25,7.75,7.85,7.61,7.84,30562636.0,TREND_DOWN_(M),,
2024-06-26,7.64,7.7,7.47,7.69,27215292.0,TREND_DOWN,BOTTOM,Bx
2024-06-27,7.68,7.72,7.55,7.55,18572130.0,TREND_UP,TOP,Tx
2024-06-28,7.55,7.58,7.37,7.42,30035865.0,TREND_DOWN,,
2024-07-02,7.41,7.57,7.33,7.39,25666738.0,TREND_DOWN_(M),BOTTOM,Bx
2024-07-03,7.38,7.76,7.38,7.59,47550970.0,TREND_UP,TOP,
2024-07-04,7.53,7.61,7.35,7.37,29535283.0,TREND_DOWN,,
2024-07-05,7.35,7.42,7.31,7.37,18235281.0,TREND_DOWN,,
2024-07-08,7.36,7.38,7.26,7.29,19757100.0,TREND_DOWN,,
2024-07-10,7.27,7.37,7.17,7.24,22161595.0,TREND_DOWN_(M),BOTTOM,B
2024-07-11,7.38,7.58,7.38,7.57,36814463.0,TREND_UP,,
