datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-01-03,,2.57,2.542,2.55,141500,INITIAL,,
2024-01-04,,2.5525,2.5275,2.53,193700,TREND_DOWN,,
2024-01-08,,2.52,2.5075,2.514,192900,TREND_DOWN_(M),,
2024-01-10,,2.5025,2.483,2.5025,239200,TREND_DOWN_(M),BOTTOM,Bx
2024-01-11,,2.509,2.4875,2.505,280000,TREND_UP,,
2024-01-12,,2.523,2.4975,2.5215,241700,TREND_UP,,
2024-01-16,,2.535,2.52,2.525,254200,TREND_UP_(M),TOP,Tx
2024-01-17,,2.5275,2.504,2.506,250900,TREND_DOWN,,
2024-01-18,,2.511,2.499,2.5075,246300,TREND_DOWN,,
2024-01-19,,2.509,2.4975,2.504,246700,TREND_DOWN,,
2024-01-22,,2.505,2.489,2.4935,275000,TREND_DOWN,BOTTOM,
2024-01-25,,2.5135,2.4935,2.499,249500,TREND_UP_(M),TOP,Tx
2024-01-29,,2.5,2.4875,2.488,180500,TREND_DOWN_(M),,
2024-01-30,,2.49,2.44,2.446,293200,TREND_DOWN,,
2024-02-02,,2.437,2.41,2.42,322700,TREND_DOWN_(M),,
2024-02-05,,2.4101,2.393,2.395,231400,TREND_DOWN,BOTTOM,Bx
2024-02-19,,2.4585,2.431,2.435,308100,TREND_UP_(M),TOP,
2024-02-20,,2.4325,2.4075,2.4075,342700,TREND_DOWN,,
2024-02-21,,2.4225,2.4025,2.409,356000,TREND_DOWN,,
2024-02-22,,2.4145,2.4,2.401,274800,TREND_DOWN,,
2024-02-26,,2.404,2.37,2.375,309300,TREND_DOWN_(M),,
2024-02-27,,2.38,2.36,2.375,279200,TREND_DOWN,,
2024-02-28,,2.3775,2.35,2.355,265700,TREND_DOWN,,
2024-02-29,,2.356,2.339,2.351,308700,TREND_DOWN,BOTTOM,Bx
2024-03-04,,2.387,2.352,2.36,298300,TREND_UP_(M),TOP,
2024-03-05,,2.3625,2.325,2.325,361600,TREND_DOWN,,
2024-03-06,,2.3275,2.2675,2.2675,314100,TREND_DOWN,,
2024-03-08,,2.299,2.2475,2.294,326200,TREND_DOWN_(M),BOTTOM,Bx
2024-03-11,,2.3175,2.2785,2.308,290500,TREND_UP,,
2024-03-12,,2.365,2.308,2.3525,357800,TREND_UP,,
2024-03-15,,2.37,2.33,2.3425,358900,TREND_UP_(M),TOP,
2024-03-18,,2.35,2.31,2.315,273200,TREND_DOWN,,
2024-03-19,,2.3275,2.3,2.315,238800,TREND_DOWN,BOTTOM,
2024-03-22,,2.3375,2.3125,2.335,157600,TREND_UP_(M),,
2024-03-25,,2.35,2.328,2.347,145800,TREND_UP,TOP,Tx
2024-03-27,,2.32,2.284,2.2925,94300,TREND_DOWN_(M),,
2024-03-29,,2.305,2.278,2.2925,126000,TREND_DOWN_(M),BOTTOM,Bx
2024-04-01,,2.313,2.3025,2.305,182700,TREND_UP,TOP,
2024-04-02,,2.309,2.291,2.293,145500,TREND_DOWN,,
2024-04-08,,2.295,2.28,2.2875,169300,TREND_DOWN_(M),,
2024-04-09,,2.2925,2.276,2.2925,206700,TREND_DOWN,BOTTOM,Bx
2024-04-11,,2.3085,2.289,2.29,337100,TREND_UP_(M),TOP,
2024-04-12,,2.29,2.2745,2.2775,256300,TREND_DOWN,,
2024-04-15,,2.2825,2.27,2.279,256700,TREND_DOWN,,
2024-04-16,,2.28,2.2675,2.268,248200,TREND_DOWN,,
2024-04-17,,2.2725,2.256,2.26,288000,TREND_DOWN,,
2024-04-19,,2.258,2.242,2.254,228600,TREND_DOWN_(M),,
2024-04-22,,2.253,2.2401,2.243,122700,TREND_DOWN,,
2024-04-23,,2.24,2.215,2.22,189300,TREND_DOWN,BOTTOM,Bx
2024-04-26,,2.31,2.256,2.3025,273100,TREND_UP_(M),,
2024-04-29,,2.38,2.325,2.35,177500,TREND_UP,TOP,
2024-04-30,,2.348,2.2975,2.3025,156200,TREND_DOWN,,
2024-05-06,,2.311,2.295,2.305,183000,TREND_DOWN,,
2024-05-08,,2.299,2.285,2.298,227000,TREND_DOWN_(M),BOTTOM,
2024-05-09,,2.319,2.295,2.314,252400,TREND_UP,,
2024-05-10,,2.325,2.3045,2.32,234900,TREND_UP,TOP,Tx
2024-05-13,,2.31,2.287,2.292,256900,TREND_DOWN,,
2024-05-14,,2.294,2.2825,2.2885,241700,TREND_DOWN,BOTTOM,Bx
2024-05-15,,2.3025,2.2855,2.298,247300,TREND_UP,,
2024-05-16,,2.32,2.298,2.31,233200,TREND_UP,,
2024-05-17,,2.34,2.305,2.306,282200,TREND_UP,TOP,
2024-05-20,,2.31,2.3,2.3085,147000,TREND_DOWN,BOTTOM,
2024-05-22,,2.3185,2.3075,2.309,154100,TREND_UP_(M),TOP,Tx
2024-05-23,,2.308,2.3,2.304,146800,TREND_DOWN,BOTTOM,Bx
2024-05-27,,2.3175,2.304,2.31,151500,TREND_UP_(M),TOP,
2024-05-28,,2.312,2.2945,2.298,181000,TREND_DOWN,,
2024-05-29,,2.2965,2.286,2.294,192200,TREND_DOWN,BOTTOM,Bx
2024-05-30,,2.3075,2.2875,2.307,191000,TREND_UP,,
2024-05-31,,2.34,2.314,2.316,208600,TREND_UP,TOP,
2024-06-03,,2.3175,2.3085,2.309,118900,TREND_DOWN,,
2024-06-04,,2.3135,2.307,2.3075,109100,TREND_DOWN,,
2024-06-05,,2.31,2.303,2.3055,89500,TREND_DOWN,,
2024-06-07,,2.307,2.302,2.307,57800,TREND_DOWN_(M),,
2024-06-12,,2.305,2.3015,2.305,40500,TREND_DOWN_(M),,
2024-06-13,,2.3026,2.2985,2.299,70400,TREND_DOWN,,
2024-06-14,,2.295,2.283,2.295,146400,TREND_DOWN,BOTTOM,Bx
2024-06-17,,2.3,2.288,2.288,66600,TREND_UP,TOP,
2024-06-19,,2.285,2.26,2.26,106800,TREND_DOWN_(M),,
2024-06-20,,2.273,2.2525,2.2725,108800,TREND_DOWN,BOTTOM,Bx
2024-06-21,,2.29,2.269,2.2825,83900,TREND_UP,TOP,
2024-06-24,,2.286,2.2625,2.266,98100,TREND_DOWN,,
2024-07-01,,2.2725,2.21,2.2725,108200,TREND_DOWN_(M),BOTTOM,Bx
2024-07-05,,2.2825,2.26,2.28,130000,TREND_UP_(M),,
2024-07-08,,2.306,2.28,2.293,140900,TREND_UP,TOP,
2024-07-09,,2.295,2.274,2.275,129200,TREND_DOWN,,
2024-07-10,,2.2825,2.2725,2.28,90800,TREND_DOWN,,
2024-07-11,,2.28,2.2715,2.272,80100,TREND_DOWN,,
2024-07-12,,2.2695,2.2625,2.269,81300,TREND_DOWN,,
2024-07-15,,2.2675,2.2575,2.261,82500,TREND_DOWN,BOTTOM,
2024-07-19,,2.275,2.26,2.2605,110500,TREND_UP_(M),TOP,Tx
2024-07-22,,2.26,2.225,2.241,146900,TREND_DOWN,,
2024-07-23,,2.241,2.22,2.2225,124500,TREND_DOWN,,
2024-07-24,,2.2275,2.217,2.2265,107500,TREND_DOWN,,
2024-07-25,,2.2225,2.199,2.199,157000,TREND_DOWN,,
2024-07-26,,2.1975,2.17,2.184,90100,TREND_DOWN,,
2024-07-29,,2.18,2.15,2.15,74700,TREND_DOWN,,
2024-07-30,,2.154,2.135,2.136,103500,TREND_DOWN,,
2024-07-31,,2.147,2.1275,2.145,85900,TREND_DOWN,,
2024-08-05,,2.145,2.0825,2.145,76600,TREND_DOWN_(M),BOTTOM,B
2024-08-06,,2.165,2.1375,2.145,295200,TREND_UP,TOP,
2024-08-07,,2.15,2.1225,2.14,217600,TREND_DOWN,BOTTOM,
2024-08-08,,2.176,2.143,2.175,211600,TREND_UP,,
2024-08-09,,2.2,2.1765,2.2,102200,TREND_UP,,
