datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-01-02,101.81,101.83,101.56,101.61,13807,INITIAL,,
2024-01-03,101.53,101.64,101.24,101.63,22925,TREND_DOWN,BOTTOM,B
2024-01-04,101.7,101.93,101.63,101.76,17729,TREND_UP,,
2024-01-05,101.97,102.31,101.9,102.16,26158,TREND_UP,,
2024-01-08,102.22,102.33,102.07,102.15,16096,TREND_UP,,
2024-01-10,102.42,102.82,102.42,102.61,27446,TREND_UP_(M),TOP,Tx
2024-01-11,102.36,102.7,102.2,102.52,25359,TREND_DOWN,,
2024-01-15,102.4,102.41,101.7,102.32,35398,TREND_DOWN_(M),BOTTOM,Bx
2024-01-16,102.35,102.5,102.19,102.32,21515,TREND_UP,,
2024-01-17,102.2,102.64,102.2,102.61,19605,TREND_UP,,
2024-01-18,102.7,102.88,102.55,102.61,24689,TREND_UP,,
2024-01-19,102.7,103.02,102.68,102.97,20085,TREND_UP,,
2024-01-23,102.94,103.81,102.94,103.56,27248,TREND_UP_(M),,
2024-01-24,103.46,103.94,103.32,103.67,29657,TREND_UP,TOP,Tx
2024-01-26,103.4,103.74,103.15,103.55,32353,TREND_DOWN_(M),BOTTOM,
2024-01-29,103.5,103.87,103.4,103.79,24007,TREND_UP,,
2024-01-30,104.1,104.67,104.09,104.6,24843,TREND_UP,,
2024-02-02,105.39,105.48,105.02,105.14,34071,TREND_UP_(M),,
2024-02-05,105.85,105.9,105.43,105.64,24690,TREND_UP,TOP,Tx
2024-02-06,105.54,105.58,104.65,104.65,31218,TREND_DOWN,,
2024-02-07,104.58,105.35,104.5,105.18,23675,TREND_DOWN,BOTTOM,
2024-02-22,105.12,105.59,105.12,105.54,17946,TREND_UP_(M),,
2024-02-23,105.6,106.02,105.55,105.83,29772,TREND_UP,,
2024-02-26,105.82,106.33,105.68,106.33,27008,TREND_UP,,
2024-02-27,106.78,106.94,106.47,106.57,34223,TREND_UP,TOP,Tx
2024-02-28,106.7,106.91,106.28,106.91,32084,TREND_DOWN,BOTTOM,
2024-02-29,107.2,107.56,106.97,107.34,37394,TREND_UP,TOP,Tx
2024-03-01,107.0,107.07,106.0,106.15,49697,TREND_DOWN,BOTTOM,
2024-03-04,106.61,107.18,106.6,107.05,37416,TREND_UP,TOP,
2024-03-05,106.85,107.08,106.4,106.66,43610,TREND_DOWN,BOTTOM,
2024-03-06,106.79,107.46,106.67,107.28,44121,TREND_UP,,
2024-03-07,107.88,108.09,106.75,107.19,58164,TREND_UP,TOP,T
2024-03-08,107.23,107.46,106.74,106.89,44093,TREND_DOWN,,
2024-03-11,106.84,107.08,106.16,106.24,44776,TREND_DOWN,,
2024-03-12,105.7,105.9,105.04,105.04,59262,TREND_DOWN,,
2024-03-13,104.95,105.83,104.5,105.7,77721,TREND_DOWN,BOTTOM,B
2024-03-14,105.47,105.86,105.1,105.61,52902,TREND_UP,,
2024-03-15,105.4,106.2,105.4,105.94,48570,TREND_UP,,
2024-03-18,105.9,106.35,105.76,106.34,35697,TREND_UP,,
2024-03-20,106.66,107.13,106.53,106.55,46256,TREND_UP_(M),TOP,Tx
2024-03-22,106.2,106.59,105.48,105.49,48793,TREND_DOWN_(M),,
2024-03-26,105.74,105.74,105.17,105.36,50389,TREND_DOWN_(M),BOTTOM,Bx
2024-03-27,105.45,105.9,105.28,105.82,38773,TREND_UP,,
2024-03-29,105.94,106.64,105.72,106.61,48412,TREND_UP_(M),TOP,
2024-04-02,106.17,106.17,105.65,106.05,43377,TREND_DOWN_(M),BOTTOM,Bx
2024-04-03,106.16,106.6,106.16,106.39,33276,TREND_UP,,
2024-04-08,106.3,106.9,106.26,106.64,34382,TREND_UP,,
2024-04-09,106.63,106.97,106.58,106.88,25377,TREND_UP,TOP,Tx
2024-04-10,106.4,106.74,106.27,106.44,32291,TREND_DOWN,,
2024-04-15,106.29,106.45,105.71,106.17,45626,TREND_DOWN_(M),BOTTOM,
2024-04-16,106.17,106.6,106.05,106.6,33999,TREND_UP,,
2024-04-17,106.83,107.0,106.4,106.67,43884,TREND_UP,,
2024-04-18,106.7,107.45,106.7,107.43,46984,TREND_UP,,
2024-04-19,107.4,107.58,107.23,107.44,35887,TREND_UP,,
2024-04-22,107.68,107.95,107.64,107.82,28623,TREND_UP,,
2024-04-23,107.97,108.48,107.91,108.35,42623,TREND_UP,TOP,T
2024-04-24,107.8,107.8,107.06,107.1,52806,TREND_DOWN,,
2024-04-25,107.11,107.24,106.64,106.76,53157,TREND_DOWN,,
2024-04-26,106.82,106.97,106.14,106.26,46984,TREND_DOWN,,
2024-04-29,105.66,105.74,104.98,105.39,64461,TREND_DOWN,BOTTOM,B
2024-04-30,105.9,106.22,105.73,106.2,37772,TREND_UP,TOP,Tx
2024-05-06,105.99,106.08,105.68,105.82,37552,TREND_DOWN,BOTTOM,
2024-05-07,105.86,106.36,105.86,106.23,37057,TREND_UP,,
2024-05-08,106.12,106.57,106.05,106.39,30262,TREND_UP,TOP,Tx
2024-05-09,106.18,106.35,105.74,105.85,32949,TREND_DOWN,,
